k    none    reg    psf1      psf5      psf25
840  2.4084429965e+00   1.0001526594e+00   1.0208107533e+00   1.0175009321e+00    1.0068764502e+00
845  2.4016087646e+00   1.0001416650e+00   1.0206718446e+00   1.0173633554e+00    1.0068108807e+00
850  2.3980919596e+00   1.0001328877e+00   1.0204664580e+00   1.0171644549e+00    1.0067119300e+00
855  2.3944669501e+00   1.0001259177e+00   1.0203239588e+00   1.0170330306e+00    1.0066437974e+00
860  2.3889297840e+00   1.0001182390e+00   1.0201725692e+00   1.0169149727e+00    1.0065601864e+00
865  2.3863406400e+00   1.0001106780e+00   1.0200490940e+00   1.0167847819e+00    1.0064900782e+00
870  2.3791279533e+00   1.0001052823e+00   1.0198720011e+00   1.0166356888e+00    1.0064130773e+00
875  2.3761410938e+00   1.0000999529e+00   1.0197376225e+00   1.0164849757e+00    1.0063380723e+00
880  2.3710260359e+00   1.0000948399e+00   1.0195783882e+00   1.0163529055e+00    1.0062628360e+00
885  2.3648196518e+00   1.0000894442e+00   1.0194248729e+00   1.0162538770e+00    1.0061898295e+00
890  2.3611933698e+00   1.0000839478e+00   1.0192925021e+00   1.0161291333e+00    1.0061346926e+00
895  2.3576409046e+00   1.0000778216e+00   1.0191348103e+00   1.0159578858e+00    1.0060519368e+00
900  2.3546599973e+00   1.0000740653e+00   1.0189964135e+00   1.0158225302e+00    1.0060013581e+00
905  2.3510206347e+00   1.0000696496e+00   1.0188526715e+00   1.0157136666e+00    1.0059303408e+00
910  2.3490939988e+00   1.0000654551e+00   1.0187066386e+00   1.0155354478e+00    1.0058762879e+00
915  2.3428475942e+00   1.0000618185e+00   1.0185608168e+00   1.0154140491e+00    1.0058209343e+00
920  2.3372698272e+00   1.0000593304e+00   1.0184353574e+00   1.0152982523e+00    1.0057690711e+00
925  2.3333432599e+00   1.0000547531e+00   1.0182963500e+00   1.0151706747e+00    1.0057026893e+00
930  2.3294587056e+00   1.0000521323e+00   1.0181856881e+00   1.0150471503e+00    1.0056441135e+00
935  2.3249643431e+00   1.0000494875e+00   1.0179947126e+00   1.0149225452e+00    1.0055752779e+00
940  2.3207277893e+00   1.0000464337e+00   1.0178273522e+00   1.0148078770e+00    1.0055151747e+00
945  2.3166358171e+00   1.0000441930e+00   1.0176845351e+00   1.0146863410e+00    1.0054451565e+00
950  2.3136403592e+00   1.0000413384e+00   1.0175737419e+00   1.0145852478e+00    1.0053925821e+00
955  2.3103501434e+00   1.0000389367e+00   1.0174478137e+00   1.0144382947e+00    1.0053404045e+00
960  2.3058155621e+00   1.0000370323e+00   1.0173082869e+00   1.0143051222e+00    1.0052795408e+00
965  2.3030368679e+00   1.0000348297e+00   1.0172276512e+00   1.0141679913e+00    1.0052297878e+00
970  2.2984131324e+00   1.0000330889e+00   1.0171191439e+00   1.0140832717e+00    1.0051860592e+00
975  2.2931440982e+00   1.0000312250e+00   1.0169836112e+00   1.0139807478e+00    1.0051288204e+00
980  2.2899869097e+00   1.0000294253e+00   1.0168717334e+00   1.0138753768e+00    1.0050749278e+00
985  2.2862470177e+00   1.0000275882e+00   1.0167549367e+00   1.0137488831e+00    1.0050147278e+00
990  2.2817578031e+00   1.0000262970e+00   1.0166053213e+00   1.0136488155e+00    1.0049697056e+00
995  2.2780182478e+00   1.0000251054e+00   1.0164739491e+00   1.0135444647e+00    1.0049157242e+00
1000  2.2726111084e+00   1.0000236039e+00   1.0163336833e+00   1.0134150738e+00    1.0048759005e+00
1005  2.2690098445e+00   1.0000226848e+00   1.0162457516e+00   1.0133312841e+00    1.0048303459e+00
