k none reg psf1 psf5 psf25 
244 579998.323910 3.206596 1.068528 1.073392 1.037027
245 578608.734465 3.198219 1.067874 1.073176 1.036644
246 577021.241954 3.178075 1.067653 1.072642 1.036349
247 576197.094503 3.166942 1.067308 1.072480 1.036185
248 574993.265610 3.137683 1.067246 1.072164 1.036009
249 573685.287053 3.117223 1.066376 1.071520 1.035643
250 573245.540395 3.079913 1.066200 1.070607 1.035552
251 571713.018598 3.070895 1.065784 1.070524 1.035332
252 571094.027472 3.053856 1.065496 1.070217 1.035186
253 569171.544050 3.027734 1.065107 1.069845 1.034966
254 567993.829506 3.011065 1.064911 1.069677 1.034790
255 567789.273407 2.971371 1.064488 1.069495 1.034583
256 566773.237136 2.965262 1.064136 1.068851 1.034441
257 565358.731206 2.958776 1.062922 1.068788 1.034374
258 564332.657788 2.933262 1.062714 1.068445 1.034212
259 562870.554872 2.910682 1.062462 1.068244 1.034097
260 562302.723826 2.907927 1.062337 1.067809 1.034040
261 561096.108675 2.901666 1.062190 1.067691 1.033946
262 559617.293379 2.854087 1.062135 1.067397 1.033704
263 559360.190795 2.837526 1.062087 1.067307 1.033407
264 557709.612294 2.829790 1.061795 1.066935 1.033364
265 557279.652993 2.809160 1.061291 1.066518 1.033319
266 555565.446902 2.787029 1.060841 1.066212 1.033038
267 554096.197813 2.769003 1.060569 1.066111 1.032945
268 553117.526200 2.753433 1.060447 1.065767 1.032922
269 552295.426568 2.745678 1.060382 1.065106 1.032596
270 551098.428143 2.728515 1.060037 1.065066 1.032448
271 549499.635549 2.713580 1.059245 1.064375 1.032242
272 547916.840147 2.700053 1.058927 1.064237 1.032193
273 547840.584960 2.690081 1.058808 1.063352 1.031705
274 546654.180788 2.663041 1.058611 1.063252 1.031526
275 545126.700085 2.651506 1.058435 1.062998 1.031362
276 543637.304902 2.635241 1.058008 1.062581 1.031177
277 542877.470498 2.609497 1.057786 1.062105 1.030986
278 542179.430413 2.589459 1.057478 1.061827 1.030742
279 540304.444057 2.581085 1.057442 1.061667 1.030632
280 538082.225487 2.570588 1.057045 1.061325 1.030208
281 537635.213807 2.562753 1.056853 1.061050 1.030195
282 536997.947813 2.548286 1.056570 1.060882 1.030187
283 536709.558473 2.525657 1.056325 1.060480 1.030038
284 535861.134588 2.512441 1.055965 1.060242 1.029550
285 534202.407461 2.502900 1.055578 1.060158 1.029482
286 533487.524901 2.492692 1.055386 1.059843 1.029390
287 532334.601655 2.456299 1.055051 1.059580 1.029386
288 531625.930643 2.452466 1.054833 1.059471 1.029120
289 531161.515031 2.433128 1.054442 1.059146 1.028903
290 529770.046607 2.424111 1.054321 1.058959 1.028810
291 528677.348121 2.417308 1.054055 1.058791 1.028730
292 528346.331655 2.410159 1.053888 1.058145 1.028608
293 527387.280779 2.397816 1.053281 1.057761 1.028589
294 527266.308266 2.384855 1.052953 1.057321 1.028410
295 525095.197160 2.370138 1.052848 1.056757 1.028227
296 524689.598107 2.355446 1.052563 1.056241 1.028063
297 524014.059103 2.351048 1.052376 1.056111 1.027921
298 522037.713401 2.329805 1.052099 1.056062 1.027784
299 521601.806421 2.323090 1.051830 1.055522 1.027708
300 521029.283243 2.311861 1.051798 1.055425 1.027617
301 520313.365972 2.297853 1.051353 1.055128 1.027479
302 519505.918227 2.293393 1.051114 1.055048 1.027355
303 518460.696022 2.282278 1.050523 1.054651 1.027320
304 518050.233167 2.266227 1.050155 1.054306 1.027096
305 517505.986548 2.259979 1.050083 1.053971 1.027078
306 516649.396128 2.247541 1.049932 1.053872 1.026820
307 514540.619662 2.247340 1.049569 1.053713 1.026484
308 513110.884573 2.239532 1.049357 1.053570 1.026477
